Game,Category,Description,CPU,GPU,RAM,File Size
BLEACH Rebirth of Souls,Unknown,Awaken the blade within you and reverse your fate in BLEACH Rebirth of Souls! Engage in thrilling battles with powerful sword abilities and characters from this legendary anime franchise.,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,75 GB
Windows 11,Unknown,"Windows 11 provides a calm and creative space where you can pursue your passions through a fresh experience. From a rejuvenated Start menu to new ways to connect to your favorite people, news, games, and content - Windows 11 is the place to think, express, and create in a natural way.",Intel Celeron G4900,NVIDIA GeForce GTX 1050,4 GB,64 GB
Genshin Impact,RPG / Free to Play,"Enjoy and explore the mystical world of Teyvat in the single player action role playing, gacha game Mihoyo’s Genshin Impact. Collect different characters and learn to utilise each of their unique abilities in this journey to find your long lost sibling and unravel the mysteries of this wonderful land.",Intel Core i5-4460,NVIDIA GeForce GT 1030,8 GB,30 GB
GTA 4,Action / Adventure / FPS,"Niko Bellic, Johnny Klebitz and Luis Lopez all have one thing in common - they live in the worst city in America. Liberty City worships money and status, and is heaven for those who have them and a living nightmare for those who don't.",AMD Athlon 64 X2 TK-55,ATI Radeon X1900,1.5 GB,16 GB
Rise of the Rōnin,Action / RPG,"Embark on an epic journey across war-torn 19th-century Japan in this combat-focused open-world action RPG from Team NINJA, the veteran studio behind Nioh and NINJA GAIDEN.

Japan, 1863. After three centuries of the Tokugawa Shogunate’s oppressive rule, the Black Ships of the West descend upon the nation’s borders and the country falls into a state of turmoil. Amidst the chaos of war, disease and political unrest, a nameless warrior forges their own path, holding the very fate of Japan in their hands.",Intel Core i5-7600K,NVIDIA GeForce GTX 1660,8 GB,80 GB
Ready Or Not,Action / Indie / Adventure,"Ready Or Not is an intense, tactical, first person shooter that depicts a modern day world in which SWAT police units are called to diffuse hostile and confronting situations.",Intel Core i5-4430  / FX-6300,AMD Radeon R7 370  / GeForce GTX 960,8 GB,90 GB
Rust,Action / RPG / Indie,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.",Intel Core i7-3770,AMD Radeon R9 280,10 GB,35 GB
Microsoft Flight Simulator 2024,Unknown,Explore the world with our largest fleet of aircraft and take simulation to new heights while pursuing your aviation career within Microsoft Flight Simulator 2024.,Intel Core i7-6800K  / Ryzen 5 2600X,AMD Radeon RX 5700  / GeForce GTX 970,16 GB,50 GB
Solo Leveling:Arise,Action / RPG / Fighting,"Experience the thrill of the original webtoon through high-quality graphics! From the Weakest Hunter of All Mankind to the world's strongest hunter, play as Jinwoo and experience the journey yourself! Adventure through the gripping story of the original work and discover all-new stories developed for the game!",Intel Core i3-3220,NVIDIA GeForce GTX 1050,8 GB,20 GB
Delta Force,Action / Adventure / MMO,"Delta Force is back! The iconic series returns as the definitive free-to-play modern team-based tactical shooter and featuring three distinct gameplay modes: large-scale PvP warfare, intense extraction shooter action, and a remake of the legendary Black Hawk Down campaign.",Intel Core i3-4150  / FX-6300,NVIDIA GeForce GTX 960  / Radeon R9 380,12 GB,60 GB
WWE 2K25,Sports / Simulation,"Celebrate The Bloodline in Showcase. Compete online in MyGM. Expanded gameplay includes intergender wrestling, chain wrestling, barricade diving, the return of Promos + much more!",Intel Core i5-4460,AMD Radeon RX 480  / GeForce GTX 1060,12 GB,103 GB
