Game,Category,Description,CPU,GPU,RAM,File Size
Counter-Strike,Action / FPS,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,Intel Core 2 Duo E7400,NVIDIA GeForce 8600 GT,4 GB,4 GB
Need For Speed Payback,Unknown,"Set in the underworld of Fortune Valley, you and your crew were divided by betrayal and reunited by revenge to take down The House, a nefarious cartel that rules the city’s casinos, criminals and cops. In this corrupt gambler’s paradise, the stakes are high and The House always wins.",Intel Core i3-6300,NVIDIA GeForce GTX 750 Ti,6 GB,30 GB
Batman: Arkham City,Action / Adventure / FPS,Get Batman: Arkham City and all DLC for one low price with the release of the GOTY Edition!,Intel Core 2 Duo E4600,NVIDIA GeForce 8800 GT,2 GB,17 GB
F1® 22,Racing / Sports,Enter the new era of Formula 1® in EA SPORTS™ F1® 22 the official videogame of the 2022 FIA Formula One World Championship™.,Intel Core i5-9600K,AMD Radeon RX 470,8 GB,80 GB
Mafia II,Action / FPS / Third-person shooter,"Vito Scaletta has started to make a name for himself on the streets of Empire Bay as someone who can be trusted to get a job done. Together with his buddy Joe, he is working to prove himself to the Mafia, quickly escalating up the family ladder with crimes of larger reward, status and consequence… the life as a wise guy isn’t quite as...",Intel Core 2 Duo E8400,ATI Radeon HD 2600 PRO,4 GB,8 GB
PRO EVOLUTION SOCCER 2019,Unknown,"Feel The Power Of Football with PES 2019 offering new licenses, photo-realism and new myClub!",Intel Core i5-3470,NVIDIA GeForce GTX 670,4 GB,30 GB
World War Z,Action / Violent / Gore,"World War Z is a heart-pounding four-player cooperative third-person shooter featuring massive swarms of zombies that recklessly rush their living prey.

Focused on fast-paced gameplay -- and inspired by the incredibly popular Paramount Pictures property of the same name -- World War Z explores new storylines and characters from around the world in tense, overwhelming, gruesomely exciting missions crafted specifically for modern PCs.",AMD A10-5700,ATI Radeon HD 5870,8 GB,35 GB
The First Descendant,Action / RPG / Adventure,The First Descendant is a third-person looter shooter powered by Unreal Engine 5. Become a Descendant. Fight for the survival of humanity. Descendants have unique abilities to tackle both solo and co-op missions. Up to 4 players use varied mechanics to defeat giant bosses. BE THE FIRST DESCENDANT!,Intel Core i5-3570  / FX-8350,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 570,8 GB,50 GB
Path of Exile,Action / RPG / Indie,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Path of Exile is an online Action RPG set in a dark fantasy world. The game is completely free and will never be pay-to-win.",Intel Core 2 Duo E8400,NVIDIA GeForce GTX 650,4 GB,20 GB
Planet Coaster 2,Strategy / Simulation,"Build and customise thrilling roller coasters and incredible water slides, manage the ultimate theme park experience, and share your epic creations. Are you ready to ride the wave?",Intel Core i5-6600K  / Ryzen 5 2600,NVIDIA GeForce GTX 1060 6GB  / GeForce FX 5600XT,16 GB,25 GB
Fall Guys,Action / Casual / Sports,"Epic’s Fall Guys is a multiplayer party royale game in which you and up to 60 other players compete in increasingly crazy rounds of wacky challenges, be it an inflatable rino in a obstacle course or a magnet being launched out of a canon to knock you off a platform; you’ve got to dodge it all and be the one to get the crown.",Intel Core i5-2300  / Ryzen 3 1200,NVIDIA GeForce GTX 660  / Radeon HD 7950,8 GB,2 GB
Star Wars Jedi: Fallen Order,Action / Adventure / FPS,"A galaxy-spanning adventure awaits in Star Wars Jedi: Fallen Order, a 3rd person action-adventure title from Respawn. An abandoned Padawan must complete his training, develop new powerful Force abilities, and master the art of the lightsaber - all while staying one step ahead of the Empire.",Intel Core i3-3220,AMD Radeon HD 7750,8 GB,55 GB
RESIDENT EVIL 3,Action / FPS / Third-person shooter,"Jill Valentine is one of the last remaining people in Raccoon City to witness the atrocities Umbrella performed. To stop her, Umbrella unleashes their ultimate secret weapon: Nemesis! Also includes Resident Evil Resistance, a new 1 vs 4 online multiplayer game set in the Resident Evil universe.",Intel Core i5-4460  / FX-6300,NVIDIA GeForce GTX 960  / Radeon RX 460,8 GB,45 GB
Control,Action / Adventure / FPS,"Winner of over 80 awards, Control is a visually stunning third-person action-adventure that will keep you on the edge of your seat.",Intel Core i5-4690,AMD Radeon R9 280X,8 GB,42 GB
Atlas Fallen,Action / RPG / Adventure,"In solo or co-op, experience Reign of Sand, the ultimate version of Atlas Fallen. Ride the sands of a timeless land and defeat legendary monsters in spectacular Action-RPG combat using devastating powers.",Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,8 GB,35 GB
Cricket 19,Unknown,"A truly global cricket simulation from Big Ant Studios, the leading name in authentic, realistic cricket action, Cricket 19 allows you to take control of your team, from club through national level, and lead them to T20, ODI, or Test Match glory.",Intel Core i3-3210,AMD Radeon HD 6670,4 GB,25 GB
Dead Island 2,Action / RPG / Violent,"A deadly virus is spreading across Los Angeles, turning inhabitants into zombies. Bitten, infected, but more than just immune, uncover the truth behind the outbreak and discover who -or what- you are. Pre-purchase now and get the Memories of Banoi!",AMD FX-9590,AMD Radeon RX 480,10 GB,70 GB
Lust 'n Dead ?,Action / Casual / Adventure,"Destroy enemy waves one after another using an extensive range of weapons as you attempt to save the town from invasion! Improve your arsenal, level up, find the cure and witness some hot adult action! ?",Intel Core i5-12400T,Unknown,8 GB,8 GB
7 Days to Die,Action / Strategy / RPG,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!",Intel Core 2 Duo E8400,AMD Radeon HD 5450,6 GB,4 GB
American Truck Simulator,Indie / Simulation / FPS,"Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.",Intel Core 2 Duo E4600,Intel HD 4000,4 GB,3 GB
Teardown,Action / Strategy / Indie,Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of.,Intel Core i5-1300F,NVIDIA GeForce GTX 1060,4 GB,4 GB
Ranch Simulator,Simulation / Early Access / FPS,Builder. Farmer. Hunter. Trader. Ranching certainly isn’t your average job. Think you have the skills to turn your family’s rundown homestead into the most prosperous ranch in the valley? Then it’s time to head out into the wilderness in this captivating single and multiplayer open-world simulator.,Intel Core i5-3570K,Unknown,8 GB,15 GB
Outer Wilds,Action / Adventure / Space,"Named Game of the Year 2019 by Giant Bomb, Polygon, Eurogamer, and The Guardian, Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop.",Intel Core i5-2300,Unknown,6 GB,8 GB
Sniper Elite: Resistance,Action / Adventure,"Offering unparalleled sniping mechanics, stealth and tactical third-person combat, Sniper Elite: Resistance turns the attention of the award-winning series towards a hidden war, far from the front lines, deep within the heart of occupied France.",Intel Core i5-9400F,NVIDIA GeForce RTX 2060,16 GB,90 GB
FINAL FANTASY XV,RPG / FPS / JRPG,"Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before.",Intel Core i5-2500,AMD Radeon R9 280,8 GB,100 GB
Frostpunk 2,Strategy / Simulation,"Develop, expand, and advance your city in a society survival game set 30 years after an apocalyptic blizzard ravaged Earth. In Frostpunk 2, you face not only the perils of never-ending winter, but also the powerful factions that watch your every step inside the Council Hall.",Intel Core i5-3210M  / Ryzen 5 5600H,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 550,8 GB,30 GB
Assassin's Creed Syndicate,Action / Adventure / FPS,"London, 1868. In the heart of the Industrial Revolution, lead your underworld organization and grow your influence to fight those who exploit the less privileged in the name of progress",Intel Core i5-2400S,NVIDIA GeForce GTX 660,6 GB,50 GB
The Forever Winter,Action / Indie / Early Access,The Forever Winter is a tactical shooter where you and your squad must loot the dead to survive under the shadow of terrifying and gargantuan war machines locked in a never-ending conflict. Millions of deaths later the war continues with our latest update!,Intel Core i7-9700,NVIDIA GeForce RTX 2080 SUPER,16 GB,87 GB
Call of Duty Ghosts,Action / FPS,"Outnumbered and outgunned, but not outmatched.Call of Duty®: Ghosts is an extraordinary step forward for one of the largest entertainment franchises of all-time. This new chapter in the Call of Duty® franchise features a new dynamic where players are on the side of a crippled nation fighting not for freedom, or liberty, but simply to...",Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Avatar: Frontiers of Pandora,Unknown,"Avatar: Frontiers of Pandora is a first person, action-adventure game developed by Massive Entertainment – a Ubisoft studio, in collaboration with Lightstorm Entertainment and Disney.",Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,90 GB
Infinity Nikki,Action / RPG / Casual,"Embark on a cozy open-world adventure filled with vast landscape, mystical puzzles and unexpected platforming challenges. Dress up not just for style, but to unravel hidden mysteries, interact with a vibrant environment, and experience the freedom to explore at your own pace.",Intel Core i5-6600,Intel Arc A380,16 GB,60 GB
The Witcher 4,Unknown,"The Witcher 4 is the upcoming sequel to The Witcher 3, but currently has no official release date in sight.",Intel Core i5-10600K,NVIDIA GeForce RTX 2070,16 GB,100 GB
Titanfall 2,Unknown,"Bigger weapons make better friends in Titanfall 2, the epic follow-up to the genre-redefining Titanfall. Respawn Entertainment gives you the most advanced titan technology in its new, expansive single player campaign and multiplayer experience.",Intel Core i3-6300T,AMD Radeon HD 7850,8 GB,45 GB
World of Tanks,Action / Strategy,World of Tanks is an epic online multiplayer game featuring authentic tanks from the mid-20th century. Take control of steel beasts and battle through historic locations where strategy means victory.,Intel Pentium E2180,NVIDIA GeForce 8600 GT  / Radeon HD 4550,3 GB,70 GB
Batman: Arkham Origins,Action / Adventure / FPS,"As of December 4, 2016, the online services portion of Batman: Arkham Origins has been retired. We thank those that have joined us to battle. The Single player campaign may still be played and enjoyed offline. For any questions relating to Batman: Arkham Origins, please contact WB Games customer service.",Intel Core 2 Duo E4600,ATI Radeon HD 3850,2 GB,Unknown
HoneySelect2Libido DX,Unknown,"The ultimate sex simulator is here! Honey Select 2: Libido Deluxe is a love letter to making love. Engage with high-quality, fully-customizable characters in every imaginable situation. From romantic candlelight sex to the most specific kinks, Honey Select is sure to satisfy you!",Intel Pentium 4 2.00GHz,AMD Radeon HD 5450,4 GB,15 GB
Unity Testing Grounds,Simulation / Early Access,Unity collection of projects used to test the engine capabilities and bring gameplay concepts.,Intel Pentium 4 2.00GHz,Intel Media Accelerator 500,512 MB,500 MB
Black Desert Online,Action / Strategy / RPG,"Played by over 20 million Adventurers - Black Desert Online is an open-world, action MMORPG. Experience intense, action-packed combat, battle massive world bosses, fight alongside friends to siege and conquer castles, and train in professions such as fishing, trading, crafting, cooking, and more!",Intel Core i3-530,ATI Radeon HD 3870,4 GB,27 GB
Fallout New Vegas,Action / RPG / Adventure,Welcome to Vegas. New Vegas. Enjoy your stay!,Intel Core 2 Duo T5750,AMD Radeon X1300,2 GB,10 GB
ASTRONEER,Indie / Adventure / Early Access,"Interact with strange new worlds in a unique and tactile way, molding the environment itself as if it were clay in your hands. Build your base, master resource management, automate your production lines, and more as you unravel the mysteries of the universe, alone or with friends.",Intel Core Duo T2450,NVIDIA GeForce 8500 GT,4 GB,2 GB
iRacing,Racing / Sports / Simulation,"We are the world’s premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.",Intel Core i5-4430,AMD Radeon HD 7850,2 GB,16 GB
MiSide,RPG / Indie / Adventure,Let's imagine that you have a game in which you care for a character. But could you imagine one day getting into that game yourself?,Intel Core i5-2300,Unknown,4 GB,2 GB
WWE 2K24,Sports / Simulation,"Experience a gripping retelling of WrestleMania’s greatest moments in 2K Showcase of the Immortals in WWE 2K24, where you can relive a collection of some of the most unforgettable, career-defining matches.",Intel Core i5-3550,AMD Radeon RX 480,8 GB,90 GB
DARK SOULS: Prepare To Die Edition,Action / RPG / FPS,Dark Souls will be the most deeply challenging game you play this year. Can you live through a million deaths and earn your legacy?,Intel Core 2 Duo E6850,AMD GeForce 9800 GTX,2 GB,4 GB
Bazaar,Strategy / Indie,"Fly on a magic carpet through the mystical land of Bazaar, collecting exotic trinkets for your journey! Beware dart traps, sea cobras, and hungry crocs that lurk around corners. Vandal monkeys have stolen relics from the guardian of the labyrinth - will you recover them in time or be trapped forever?",Intel Core i3-330E,AMD Radeon Pro 450,4 GB,100 MB
Terraria,Action / RPG / Indie,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",Intel Core 2 Duo T5750,Intel HD 3000,2.5 GB,200 MB
NARAKA: BLADEPOINT,Action / RPG / Adventure,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!",AMD FX-6300,Unknown,8 GB,55 GB
Dark and Darker,Action / RPG / Free to Play,"An unforgiving hardcore fantasy FPS dungeon PvPvE adventure. Band together with your friends and use your courage, wits, and cunning to uncover mythical treasures, defeat gruesome monsters, while staying one step ahead of the other devious treasure-hunters.",Intel Core 2 Quad Q9705,AMD Radeon RX 580  / GeForce GTX 1060,8 GB,12 GB
Hades II,Action / RPG / Indie,Battle beyond the Underworld using dark sorcery to take on the Titan of Time in this bewitching sequel to the award-winning rogue-like dungeon crawler.,Intel Core i5-3210M,NVIDIA GeForce GTX 950  / Radeon R7 360 / HD 630,8 GB,10 GB
METAL GEAR SOLID V: THE PHANTOM PAIN,Action / Adventure / FPS,"Ushering in a new era for the METAL GEAR franchise with cutting-edge technology powered by the Fox Engine, METAL GEAR SOLID V: The Phantom Pain, will provide players a first-rate gaming experience as they are offered tactical freedom to carry out open-world missions.",Intel Core i5-4460,NVIDIA GeForce GTX 650,4 GB,28 GB
State of Decay 2,Action / RPG / Simulation,"The dead have risen and civilization has fallen. Now it's up to you to gather survivors, scavenge for resources and build a community in a post-apocalyptic world – a world where you define what it means to survive in this ultimate zombie survival simulation.",Intel Core i5-2500,Unknown,8 GB,30 GB
Disco Elysium,Unknown,"Disco Elysium - The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.",Intel Core 2 Duo Q6867,AMD Radeon HD 5450,2 GB,20 GB
GTFO,Action / Adventure / Early Access,"GTFO is a hardcore cooperative horror shooter that throws you from gripping suspense to explosive action in a heartbeat. Stealth, strategy, and teamwork are necessary to survive in your deadly, underground prison. Work together or die together.",Intel Core i5-2500K,AMD Radeon HD 7850,8 GB,15 GB
Shadow of the Tomb Raider,Action / Casual / Indie,"As Lara Croft races to save the world from a Maya apocalypse, she must become the Tomb Raider she is destined to be.",Intel Core i3-3220,NVIDIA GeForce GTX 660,8 GB,40 GB
No Rest for the Wicked,Action / RPG / Adventure,"From Moon Studios, the award-winning developers of Ori and the Blind Forest and Ori and the Will of the Wisps comes No Rest for the Wicked, a visceral, precision Action RPG set to reinvent the genre.",Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 970  / Radeon RX Vega 56,16 GB,35 GB
Little Nightmares,Adventure / FPS / Platformer,"Take on the role of Six, a lone child lost in a massive metal vessel known as the Maw, surrounded by dangerous, distorted versions of adults. You’ll need to do your best to escape in one piece or your fate will be worse than you ever dared dream.",Intel Core i3-2340UE,NVIDIA GeForce GTX 460,4 GB,10 GB
FIFA 20,Unknown,"FIFA 20 brings two different sides of world football to life – the prestige of the professional game and an all-new street football experience in EA Sports Volta Football. Football Intelligence unlocks an unprecedented platform for gameplay realism, while FIFA Ultimate Team offers more ways to build your dream squad and EA Sports Volta Football takes players to the streets with an authentic form of small-sided football.",AMD Phenom II X4 965,NVIDIA GeForce GTX 660,8 GB,50 GB
SMITE 2,Action / Strategy / RPG,"Become a god and wage war in SMITE 2, the free-to-play Unreal Engine 5-powered sequel to the legendary third-person action MOBA. If you love challenging competition, intense action, ability-driven combat, rewarding teamwork, or godly mythology, you’ll see why 40+ million players love SMITE.",Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,4 GB,30 GB
Grounded,Action / Adventure / Early Access,"The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?",Intel Core i3-3225,NVIDIA GeForce GTX 650 Ti,4 GB,8 GB
Metaphor: ReFantazio,Action / RPG / Adventure,"The throne sits empty after the king’s assassination. With no heirs, the will of the late king decrees that the next monarch will be elected by the people, & thus begins your fight for the throne..",Intel Core i5-3470,Unknown,6 GB,93 GB
 Final Fantasy 7 Remake Intergrade,Action / RPG / Adventure,"Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.",AMD FX-8350,AMD Radeon RX 480,8 GB,100 GB
Drive Beyond Horizons,Action / Casual / Racing,"Rev up your engines and venture into the unknown with Drive Beyond Horizons! Conquer dynamic landscapes, customize your ride, and unearth hidden treasures. Get ready for heart-pounding challenges and endless excitement. Your adventure starts now !",Intel Core i5-6600,NVIDIA GeForce GTX 1650,8 GB,Unknown
Yakuza 0,Action / RPG / Adventure,"SEGA’s legendary Japanese series finally comes to PC. Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima. Take a front row seat to 1980s life in Japan in an experience unlike anything else in video gaming, with uncapped framerates and 4K resolutions. A legend is born.",Intel Core i5-3470,Unknown,4 GB,Unknown
Atomic Heart,Action / RPG / Adventure,"In a mad and sublime utopian world, take part in explosive encounters. Adapt your fighting style to each opponent, use your environment and upgrade your equipment to fulfill your mission. If you want to reach the truth, you'll have to pay in blood.",Intel Core i5-2500,AMD Radeon R9 380,8 GB,90 GB
STAR WARS Battlefront 2,Action / Adventure / FPS,Be the hero in the ultimate STAR WARS™ battle fantasy with STAR WARS™ Battlefront™ II: Celebration Edition!,Intel Core i5-6600K,AMD Radeon HD 7850,8 GB,60 GB
Lego Star Wars The Skywalker Saga,Action / Adventure / FPS,"Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character",Intel Core i5-2400,AMD Radeon HD 7850,8 GB,40 GB
Streamer Life Simulator,Action / Strategy / Casual,Streamer Life Simulator is a very comprehensive streamer life simulation game. Be the most popular streamer in the world.,Intel Core 2 Duo Q6867,Intel HD 4000,4 GB,5 GB
Crysis Remastered,Action / Violent,"The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around – now with remastered graphics optimized for a new generation of hardware.",Intel Core i5-3450,AMD Radeon RX 470,8 GB,20 GB
NINJA GAIDEN 2 Black,Action / Adventure,"Using Unreal Engine 5 to significantly enhance graphic expression, this is the definitive version of ""NINJA GAIDEN 2,"" featuring additional playable characters and enhanced battle support functions.",Intel Core i5-8400,Unknown,12 GB,85 GB
WWE 2K16,Sports / Simulation / Fighting,"The newest addition to the flagship WWE video game franchise will deliver fun, authentic and hard-hitting action, including returning fan-favourite features and game modes, new innovations and more!",Intel Core i3-2105,ATI Radeon HD 5870,4 GB,44 GB
Mafia: The Old Country,Action / Adventure,"Uncover the origins of organized crime in Mafia: The Old Country, a gritty mob story set in the brutal underworld of 1900s Sicily. Fight to survive as Enzo Favara and prove your worth to the Cosa Nostra in this immersive third-person action-adventure.",Intel Core i7-9700K  / Ryzen 7 2700X,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,16 GB,55 GB
Sid Meier’s Civilization 6,Strategy / Turn-based,"Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?",Intel Core i3-3120M,AMD Radeon HD 5570,4 GB,12 GB
"Warhammer 40,000: Darktide",Action / Indie / Adventure,"Take back the city of Tertium from hordes of bloodthirsty foes in this intense and brutal action shooter. Warhammer 40,000: Darktide is the new co-op focused experience from the award-winning team behind the Vermintide series. As Tertium falls, Rejects Will Rise.",Intel Core i5-6600  / Ryzen 5 2600,NVIDIA GeForce GTX 970  / Radeon RX 570,8 GB,50 GB
PGA TOUR 2K25,RPG / Sports / Simulation,"Take your best shot at glory in PGA TOUR 2K25! In a 2K-first, compete in three prestigious major tournaments. Personalize your game with expanded MyCAREER, MyPLAYER and Course Designer options. Challenge friends across ranked, casual, and cross-platform multiplayer.",Intel Core i5-6600K,AMD Radeon RX 570,8 GB,30 GB
Mad Max,Action / Adventure / FPS,"Play as Mad Max, a reluctant hero and survivor who wants nothing more than to leave the madness behind and find solace.",Intel Core i5-650,Unknown,6 GB,32 GB
Amenti,Unknown,"A photographer enters the Great Pyramids to photograph Pharaoh Rudamon’s remains, but is soon overwhelmed by a sinister curse, as the ancient tomb awakens dark forces that claw at his sanity.",Intel Core i5-3470,Unknown,6 GB,6 GB
RoadCraft,Adventure / Simulation,"As the leader of a company specialized in restoring sites devastated by natural disasters, use your construction machinery to restart the local industry. Clear debris and faulty equipment, rebuild roads and bridges damaged by weather, and much more!",Intel Core i5-8400  / Ryzen 5 1500X,NVIDIA GeForce GTX 1060  / Radeon RX 590,8 GB,40 GB
FIFA 21,Unknown,"Win as One in FIFA 21, powered by Frostbite. FIFA 21 has more ways to play than ever before - including the UEFA Champions League and CONMEBOL Libertadores. Like the previous games in the series, you will be able to manage your ultimate team on the go through the FUT app, on desktop or mobile.",Intel Core i3-6100,NVIDIA GeForce GTX 660,8 GB,50 GB
Guild Wars 2,RPG / MMO,"Guild Wars 2 is an online free to play role-playing game with fast-paced action combat, a rich and detailed universe of stories, awe-inspiring landscapes to explore, two challenging player vs. player modes—and no subscription fees! No payment for the core game, though there are frequent DLC drops.",Intel Core i3-4130,NVIDIA GeForce GTX 680  / Radeon HD 7970,8 GB,70 GB
PAYDAY 2,Action / RPG / FPS,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.",Intel Core Duo T2450,AMD Radeon HD 6450,4 GB,31 GB
Halo: The Master Chief Collection,Action / FPS / Space,"The Master Chief’s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you’re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.",AMD Phenom II X4 960T,AMD Radeon HD 6850,4 GB,43 GB
Hades,Action / RPG / Indie,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.",Intel Core 2 Duo Q6867,NVIDIA GeForce 8500 GT,4 GB,15 GB
ARMORED CORE VI FIRES OF RUBICON,Unknown,A new action game based on the concept of the ARMORED CORE series that uses the knowledge gained from FromSoftware's recent action game development.,Intel Core i7-4790K  / Core i5-8400,AMD Radeon RX 480  / GeForce GTX 1650,12 GB,60 GB
METAL GEAR RISING: REVENGEANCE,Action / FPS,"Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who...",Intel Core i5-2400,NVIDIA GeForce GTS 450,2 GB,25 GB
Assetto Corsa EVO,Racing / Sports / Simulation,Assetto Corsa EVO redefines the realism and features of one of the most popular multiplatform driving simulations ever developed. Featuring cars and tracks from different classes spanning across years of motoring history.,Intel Core i7-8700K,NVIDIA GeForce GTX 1070,16 GB,100 GB
Call of Duty Advanced Warfare,Action / FPS,"Call of Duty®: Advanced Warfare envisions a powerful future, where both technology and tactics have evolved to usher in a new era of combat for the franchise.Power Changes Everything.",Intel Core i3-530,ATI Radeon HD 5870,6 GB,55 GB
JUMP FORCE,Action / Fighting,"Create your own avatar to fight alongside the most powerful Manga heroes in an original Story Mode, or head to the Online Lobby to challenge other players and discover lots of modes and activities.",Intel Core i5-2300,NVIDIA GeForce GTX 660,4 GB,17 GB
Palia,RPG / Casual / Indie,"Discover a welcoming world in Palia, a free-to-play fantasy life sim adventure where you can craft, explore, and create the life and home of your dreams. With nearly endless ways to make Palia your home, you’ll find relaxation and joy in every corner of this vibrant, heartwarming world.",Intel Core i5-4670K,NVIDIA GeForce GTX 660,4 GB,22 GB
Remnant 2,Action / RPG / Adventure,REMNANT II® pits survivors of humanity against new deadly creatures and god-like bosses across terrifying worlds. Play solo or co-op with two other friends to explore the depths of the unknown to stop an evil from destroying reality itself.,Intel Core i5-7600,NVIDIA GeForce GTX 1650,16 GB,80 GB
Horizon Zero Dawn,Action / RPG / Adventure,Experience Aloy’s legendary quest to unravel the mysteries of a future Earth ruled by Machines. Use devastating tactical attacks against your prey and explore a majestic open world in this award-winning action RPG!,Intel Core i5-2500K,NVIDIA GeForce GTX 780,8 GB,100 GB
Grand Theft Auto: San Andreas – The Definitive Edition,Action / Adventure,"Grand Theft Auto: San Andreas: It’s the early ’90s. After a couple of cops frame him for homicide, Carl ‘CJ’ Johnson is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.",Intel Core i5-6600K,AMD Radeon R9 280,8 GB,19 GB
DRAGON BALL Z: KAKAROT,Action / RPG / FPS,"The Dragon Ball RPG of your dreams! For the first time, you can play the rest of the story. Step into the universe of Dragon Ball Z in all its iconic glory and become the hero you were always meant to be!",Intel Core i5-2400,NVIDIA GeForce GTX 750 Ti,4 GB,36 GB
Far Cry Primal,Action / Adventure / FPS,"The award-winning Far Cry franchise returns with its innovative open world gameplay, bringing together massive beasts, breathtaking environments, and unpredictable savage encounters. Welcome to the Stone Age, a time of danger and adventure.",Intel Core i3-550,ATI Radeon HD 5770,4 GB,20 GB
SONIC X SHADOW GENERATIONS,Unknown,"Shadow the Hedgehog is back with Classic and Modern Sonic in SONIC X SHADOW GENERATIONS, an all-new collection featuring two unique experiences!",Intel Core i3-2120,Unknown,8 GB,3 GB
Outlast,Action / Indie / Adventure,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",Intel Core 2 Duo Q6867,NVIDIA GeForce 9800 GTX+,2 GB,5 GB
The Evil Within,Action / FPS / Third-person shooter,"Developed by Shinji Mikami -- creator of the seminal Resident Evil series -- and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and an intricate story are combined to create an immersive world that will bring you to the height of tension.",Intel Core i7-610,NVIDIA GeForce GTX 460,4 GB,50 GB
The Crew Motorfest ,Unknown,"Welcome to Motorfest, the ultimate driving experience! Explore the vibrant open world of the island of O'ahu in Hawaii as you compete in intense races, themed events, and much more! With hundreds of iconic cars to collect, you’ll have plenty of opportunities to show of your skills.",Intel Core i5-4460,NVIDIA GeForce GTX 1060,8 GB,40 GB
Stellaris,Strategy / Simulation / Space,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",AMD FX-6350,NVIDIA GeForce GTX 460,4 GB,10 GB
The Outlast Trials,Action / Indie / Adventure,"Red Barrels invites you to experience mind-numbing terror, this time with friends. Whether you go through the trials alone or in teams, if you survive long enough and complete the therapy, Murkoff will happily let you leave… but will you be the same?",Intel Core i7-3770,AMD Radeon R7 360,8 GB,40 GB
